,Unnamed: 0,Artist,Song Name,Year Quarter,Streams,Genre
0,0,50 Cent,In Da Club,2009 Q4,,Hip-Hop
1,1,Eminem,Without Me,2009 Q2,,Hip-Hop
2,2,Mary J. Blige,Family Affair,2009 Q1,,Unknown
3,3,Akon,Smack That,2009 Q1,,Unknown
4,4,USHER,Yeah! (Feat. Lil Jon & Ludacris),2009 Q2,,Unknown
5,5,Eminem,Lose Yourself,2009 Q4,,Hip-Hop
6,6,Black Eyed Peas,Where Is The Love?,2009 Q1,,Hip-Hop
7,7,JAY-Z,Empire State Of Mind,2009 Q3,,Hip-Hop
8,8,50 Cent,Candy Shop,2009 Q1,,Hip-Hop
9,9,Eminem,The Real Slim Shady,2009 Q2,,Hip-Hop
10,10,Mark Ronson,Uptown Funk (Feat. Bruno Mars),2010 Q1,,Funk
11,11,LMFAO,Party Rock Anthem,2010 Q1,,Unknown
12,12,Ed Sheeran,Shape Of You,2010 Q1,,Unknown
13,13,The Chainsmokers,Closer,2010 Q3,,House
14,14,Maroon 5,Girls Like You,2010 Q2,,Unknown
15,15,Rihanna,We Found Love,2010 Q4,,Unknown
16,16,Lil Nas X,Old Town Road,2010 Q2,,Trap
17,17,Gotye,Somebody That I Used To Know,2010 Q1,,Indie
18,18,Luis Fonsi,Despacito,2010 Q1,,Latin
19,19,Adele,Rolling In The Deep,2010 Q1,,Soul
20,20,One Direction,What Makes You Beautiful,2011 Q2,,Unknown
21,21,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",2011 Q1,,Unknown
22,22,Adele,Rolling In The Deep,2011 Q1,,Soul
23,23,Ed Sheeran,The A Team,2011 Q3,,Unknown
24,24,Bruno Mars,Grenade,2011 Q2,,Unknown
25,25,Miguel,Sure Thing,2011 Q4,,Unknown
26,26,Katy Perry,Firework,2011 Q3,,Unknown
27,27,LMFAO,Party Rock Anthem,2011 Q1,,Unknown
28,28,Adele,Set Fire To The Rain,2011 Q1,,Soul
29,29,Jennifer Lopez,On The Floor,2011 Q2,,Unknown
30,30,Swedish House Mafia,Save The World,2012 Q2,,Unknown
31,31,Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2012 Q1,,House
32,32,Swedish House Mafia,Don'T You Worry Child - Radio Edit,2012 Q3,,Unknown
33,33,Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2012 Q1,,Unknown
34,34,Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,2012 Q1,,Electronic
35,35,Martin Garrix,Animals,2012 Q3,,Electro House
36,36,Avicii,Levels - Radio Edit,2012 Q4,,Unknown
37,37,Calvin Harris,Under Control (Feat. Hurts),2012 Q4,,Unknown
38,38,Avicii,Wake Me Up - Radio Edit,2012 Q1,,Unknown
39,39,Ivan Gough,In My Mind (Feat. Georgi Kay) - Axwell Radio Edit,2012 Q2,,Progressive House
40,40,Swedish House Mafia,Save The World,2013 Q2,,Unknown
41,41,Sebastian Ingrosso,Reload - Vocal Version / Radio Edit,2013 Q1,,House
42,42,Swedish House Mafia,Don'T You Worry Child - Radio Edit,2013 Q3,,Unknown
43,43,Avicii,I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit,2013 Q1,,Unknown
44,44,Sebastian Ingrosso,Calling (Lose My Mind) - Radio Edit,2013 Q1,,Electronic
45,45,Martin Garrix,Animals,2013 Q3,,Electro House
46,46,Avicii,Levels - Radio Edit,2013 Q4,,Unknown
47,47,Calvin Harris,Under Control (Feat. Hurts),2013 Q4,,Unknown
48,48,Avicii,Wake Me Up - Radio Edit,2013 Q1,,Unknown
49,49,Ivan Gough,In My Mind (Feat. Georgi Kay) - Axwell Radio Edit,2013 Q2,,Progressive House
50,50,Ariana Grande,Love Me Harder,2014 Q3,,Unknown
51,51,OneRepublic,Counting Stars,2014 Q1,,Alternative Rock
52,52,Ariana Grande,Break Free,2014 Q3,,Unknown
53,53,Taylor Swift,Style,2014 Q4,,Unknown
54,54,Ariana Grande,Problem,2014 Q3,,Unknown
55,55,Pharrell Williams,"Happy - From ""Despicable Me 2""",2014 Q1,,Unknown
56,56,Pitbull,Timber,2014 Q1,,Hip-Hop
57,57,Avicii,Hey Brother,2014 Q1,,House
58,58,Milky Chance,Stolen Dance,2014 Q4,,Folk
59,59,George Ezra,Budapest,2014 Q2,,Singer Songwriter
60,60,Mark Ronson,Uptown Funk (Feat. Bruno Mars),2015 Q2,,Funk
61,61,OMI,Cheerleader (Felix Jaehn Remix) - Radio Edit,2015 Q4,,Saxophone
62,62,Hozier,Take Me To Church,2015 Q3,,Unknown
63,63,Ellie Goulding,"Love Me Like You Do - From ""Fifty Shades Of Grey""",2015 Q4,,Love
64,64,Wiz Khalifa,See You Again (Feat. Charlie Puth),2015 Q1,,Unknown
65,65,Adele,Hello,2015 Q4,,Soul
66,66,Major Lazer,Lean On (Feat. Mø & Dj Snake),2015 Q4,,Moombahton
67,67,James Bay,Hold Back The River,2015 Q4,,Indie Pop
68,68,Justin Bieber,What Do You Mean?,2015 Q4,,Unknown
69,69,Justin Bieber,Sorry,2015 Q4,,Unknown
70,70,Mariah Carey,All I Want For Christmas Is You,2016 Q4,2414608.0,Unknown
71,71,Clean Bandit,Rockabye (Feat. Sean Paul & Anne-Marie),2016 Q4,2406621.0,Unknown
72,72,Wham!,Last Christmas,2016 Q4,2345002.0,Unknown
73,73,The Pogues,Fairytale Of New York (Feat. Kirsty Maccoll),2016 Q4,1879767.0,Celtic Rock
74,74,The Weeknd,Starboy,2016 Q4,1797034.0,Unknown
75,75,James Arthur,Say You Won'T Let Go,2016 Q4,1707282.0,Unknown
76,76,Shakin' Stevens,Merry Christmas Everyone - Remastered,2016 Q4,1703299.0,Christmas
77,77,Zara Larsson,I Would Like,2016 Q4,1628520.0,Unknown
78,78,Little Mix,Touch,2016 Q4,1595408.0,Unknown
79,79,Steve Aoki,Just Hold On,2016 Q4,1568632.0,Electro House
80,80,NEIKED,Sexual,2016 Q4,1567412.0,Unknown
81,81,Rae Sremmurd,Black Beatles,2016 Q4,1493769.0,Hip-Hop
82,82,Maroon 5,Don'T Wanna Know,2016 Q4,1486671.0,Pop-Rock
83,83,Andy Williams,It'S The Most Wonderful Time Of The Year,2016 Q4,1472947.0,Swing
84,84,The Chainsmokers,Closer,2016 Q4,1411852.0,House
85,85,Bruno Mars,24K Magic,2016 Q4,1391745.0,Unknown
86,86,Band Aid,Do They Know It'S Christmas? - 1984 Version,2016 Q4,1342309.0,Christmas
87,87,Michael Bublé,It'S Beginning To Look A Lot Like Christmas,2016 Q4,1336880.0,Swing
88,88,The Weeknd,I Feel It Coming,2016 Q4,1313456.0,Unknown
89,89,Drake,Fake Love,2016 Q4,1298141.0,Unknown
90,90,Little Mix,Shout Out To My Ex,2016 Q4,1274129.0,Unknown
91,91,Wizzard,I Wish It Could Be Christmas Everyday,2016 Q4,1258496.0,Christmas
92,92,The Vamps,All Night,2016 Q4,1249782.0,Unknown
93,93,ZAYN,"I Don’T Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",2016 Q4,1243523.0,Unknown
94,94,Rag'n'Bone Man,Human,2016 Q4,1237304.0,Hip-Hop
95,95,Elton John,Step Into Christmas,2016 Q4,1225419.0,Unknown
96,96,Nevada,The Mack,2016 Q4,1214257.0,House
97,97,Jonas Blue,By Your Side,2016 Q4,1196978.0,House
98,98,Paul McCartney,Wonderful Christmastime - Remastered 2011 / Edited Version,2016 Q4,1127497.0,Unknown
99,99,Starley,Call On Me - Ryan Riback Extended Remix,2016 Q4,1115166.0,Electronic
100,100,Slade,Merry Xmas Everybody,2016 Q4,1112023.0,Hard Rock
101,101,Drake,One Dance,2016 Q4,1087214.0,Unknown
102,102,Bing Crosby,White Christmas,2016 Q4,1077674.0,Unknown
103,103,Brenda Lee,Rockin' Around The Christmas Tree - Single Version,2016 Q4,1066321.0,Christmas
104,104,Sia,The Greatest,2016 Q4,1065247.0,Indie
105,105,John Lennon,Happy Xmas (War Is Over) - Remastered 2010,2016 Q4,1039049.0,Christmas
106,106,Major Lazer,Cold Water (Feat. Justin Bieber & Mø),2016 Q4,1035005.0,Moombahton
107,107,Boney M.,Mary'S Boy Child / Oh My Lord,2016 Q4,1033984.0,Disco
108,108,Hailee Steinfeld,Starving,2016 Q4,991885.0,Unknown
109,109,Matt Terry,When Christmas Comes Around,2016 Q4,975274.0,Unknown
110,110,Shawn Mendes,Mercy,2016 Q4,958439.0,Singer Songwriter
111,111,DJ Snake,Let Me Love You,2016 Q4,951780.0,Electronic
112,112,Bobby Helms,Jingle Bell Rock,2016 Q4,951774.0,Christmas
113,113,Eartha Kitt,Santa Baby (With Henri René & His Orchestra),2016 Q4,939901.0,Christmas
114,114,Ariana Grande,Side To Side,2016 Q4,936287.0,Unknown
115,115,Tom Zanetti,You Want Me (Feat. Sadie Ama),2016 Q4,923987.0,House
116,116,Phil Spector,Sleigh Ride,2016 Q4,915232.0,Rock
117,117,Mud,Lonely This Christmas,2016 Q4,857022.0,Nu Metal
118,118,John Legend,Love Me Now,2016 Q4,849027.0,Unknown
119,119,Adele,Water Under The Bridge,2016 Q4,845748.0,Soft Pop
120,120,Jona Lewie,Stop The Cavalry,2016 Q4,830002.0,Christmas
121,121,Galantis,Love On Me,2016 Q4,827233.0,Electropop
122,122,Louisa,So Good,2016 Q4,806657.0,Unknown
123,123,Darlene Love,Christmas (Baby Please Come Home),2016 Q4,803015.0,Christmas
124,124,José Feliciano,Feliz Navidad,2016 Q4,770508.0,Unknown
125,125,Sage The Gemini,Now And Later,2016 Q4,766640.0,Hyphy
126,126,Pretenders,2000 Miles - 2007 Remaster,2016 Q4,753723.0,Classic Rock
127,127,Elvis Presley,Blue Christmas,2016 Q4,724943.0,Rock & Roll
128,128,Frank Sinatra,Let It Snow! Let It Snow! Let It Snow! (With The B. Swanson Quartet),2016 Q4,717612.0,Christmas
129,129,Calvin Harris,My Way,2016 Q4,713158.0,Electronic
130,130,Greg Lake,I Believe In Father Christmas,2016 Q4,706876.0,Christmas
131,131,Nat King Cole,The Christmas Song (Merry Christmas To You),2016 Q4,691943.0,Jazz
132,132,Charli XCX,After The Afterparty (Feat. Lil Yachty),2016 Q4,682186.0,Hyperpop
133,133,Kylie Minogue,Santa Baby,2016 Q4,664743.0,Dance Pop
134,134,Martin Garrix,In The Name Of Love,2016 Q4,651837.0,Electronic
135,135,The Chainsmokers,All We Know,2016 Q4,630068.0,Unknown
136,136,Coldplay,Christmas Lights - Live From Spotify London,2016 Q4,629000.0,Unknown
137,137,Mykola Dmytrovych Leontovych,Carol Of The Bells,2016 Q4,610656.0,Christmas
138,138,Bruce Springsteen,"Santa Claus Is Comin' To Town - Live At C.W. Post College, Greenvale, Ny - December 1975",2016 Q4,608446.0,Christmas
139,139,Shawn Mendes,Treat You Better,2016 Q4,606118.0,Singer Songwriter
140,140,East 17,Stay Another Day,2016 Q4,605912.0,Hip-Hop
141,141,Kelly Clarkson,Underneath The Tree,2016 Q4,603096.0,Unknown
142,142,JP Cooper,September Song,2016 Q4,596816.0,Unknown
143,143,J. Cole,Deja Vu,2016 Q4,596580.0,Unknown
144,144,The Chainsmokers,Don'T Let Me Down (Feat. Daya),2016 Q4,596545.0,Electronic
145,145,Twenty One Pilots,Heathens,2016 Q4,576324.0,Alternative Rock
146,146,George Michael,Faith - Remastered,2016 Q4,574295.0,Unknown
147,147,Drake,Too Good,2016 Q4,560976.0,Unknown
148,148,Drake,Controlla,2016 Q4,559332.0,Unknown
149,149,Robin Schulz,Shed A Light,2016 Q4,558060.0,Tropical House
150,150,Justin Timberlake,"Can'T Stop The Feeling! (From Dreamworks Animation'S ""Trolls"")",2016 Q4,554894.0,Unknown
151,151,Machine Gun Kelly,Bad Things (With Camila Cabello),2016 Q4,553369.0,Unknown
152,152,The Weeknd,Party Monster,2016 Q4,548402.0,Lana Del Rey
153,153,Sam Smith,Have Yourself A Merry Little Christmas,2016 Q4,539897.0,Soul
154,154,Ariana Grande,Santa Tell Me,2016 Q4,533469.0,Unknown
155,155,MiC LOWRY,Oh Lord,2016 Q4,524141.0,Indie
156,156,Mura Masa,Love$Ick (Feat. A$Ap Rocky),2016 Q4,516578.0,Hip-Hop
157,157,Michael Bublé,Holly Jolly Christmas,2016 Q4,516541.0,Swing
158,158,Justin Bieber,Mistletoe,2016 Q4,510739.0,Unknown
159,159,Sean Paul,No Lie,2016 Q4,510061.0,Reggae
160,160,Michael Bublé,All I Want For Christmas Is You,2016 Q4,508192.0,Swing
161,161,Mel Tormé,The Christmas Song (Chestnuts Roasting On An Open Fire),2016 Q4,500724.0,Vocal Jazz
162,162,Michael Bublé,White Christmas (With Shania Twain),2016 Q4,496587.0,Christmas
163,163,George Michael,Careless Whisper,2016 Q4,493960.0,Unknown
164,164,Gladys Knight & The Pips,When A Child Is Born (Soleado) (Feat. Johnny Mathis),2016 Q4,481892.0,Motown
165,165,Perry Como,It'S Beginning To Look A Lot Like Christmas (With Mitchell Ayres & His Orchestra),2016 Q4,475570.0,Christmas
166,166,Destiny's Child,8 Days Of Christmas,2016 Q4,474461.0,Unknown
167,167,The Beach Boys,Little Saint Nick - 1991 Remix,2016 Q4,472598.0,Baroque Pop
168,168,Michael Bublé,Cold December Night,2016 Q4,471232.0,Swing
169,169,Jax Jones,You Don'T Know Me - Radio Edit,2016 Q4,468210.0,Dance-Pop
170,170,Michael Bublé,Santa Claus Is Coming To Town,2016 Q4,467983.0,Swing
171,171,Chuck Berry,Run Rudolph Run - Single Version,2016 Q4,461966.0,Rockabilly
172,172,Idina Menzel,Baby It'S Cold Outside (Duet With Michael Bublé),2016 Q4,460403.0,Musicals
173,173,Calum Scott,Dancing On My Own,2016 Q4,446249.0,Soft Pop
174,174,The Ronettes,Frosty The Snowman,2016 Q4,443755.0,Christmas
175,175,Justin Bieber,Sorry,2016 Q4,443194.0,Unknown
176,176,Lily Allen,Somewhere Only We Know,2016 Q4,436884.0,Unknown
177,177,The Killers,Mr. Brightside,2016 Q4,436311.0,Indie
178,178,Mike Oldfield,In Dulce Jubilo,2016 Q4,430541.0,Progressive Rock
179,179,Cashmere Cat,Trust Nobody (Feat. Selena Gomez & Tory Lanez),2016 Q4,428427.0,Tropical House
180,180,Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2016 Q4,426053.0,Tropical House
181,181,Michael Bublé,Jingle Bells (Feat. The Puppini Sisters),2016 Q4,421787.0,Christmas
182,182,Little Mix,Oops,2016 Q4,417636.0,Unknown
183,183,Justin Bieber,Love Yourself,2016 Q4,415183.0,Unknown
184,184,Daryl Hall & John Oates,Jingle Bell Rock - Daryl'S Version,2016 Q4,414825.0,Soft Rock
185,185,Calvin Harris,This Is What You Came For (Feat. Rihanna),2016 Q4,413843.0,Unknown
186,186,Coldplay,Christmas Lights,2016 Q4,404005.0,Christmas
187,187,Michael Bublé,Christmas (Baby Please Come Home),2016 Q4,402600.0,Swing
188,188,Aled Jones,Walking In The Air,2016 Q4,394666.0,Christmas
189,189,Sigma,Find Me,2016 Q4,394410.0,Drum And Bass
190,190,Dua Lipa,Blow Your Mind (Mwah),2016 Q4,393297.0,Unknown
191,191,Jonas Blue,Perfect Strangers,2016 Q4,392878.0,House
192,192,Alessia Cara,"How Far I'Ll Go - From ""Moana""",2016 Q4,391955.0,Soundtrack
193,193,Cliff Richard,Mistletoe And Wine,2016 Q4,389068.0,Unknown
