year_quarter,gdp_(£m),unemployment_rate_(%),inflation_(%),hfce_(£m)
2009 Q1,509646.0,7.1,2.9,312387.0
2009 Q2,508009.0,7.8,2.0,311964.0
2009 Q3,508398.0,7.8,1.4,313410.0
2009 Q4,509889.0,7.8,1.6,315889.0
2010 Q1,514595.0,8.0,2.4,314367.0
2010 Q2,520128.0,7.9,2.5,322185.0
2010 Q3,523173.0,7.8,2.3,322411.0
2010 Q4,523515.0,7.9,2.7,321985.0
2011 Q1,524955.0,7.8,3.5,319260.0
2011 Q2,525418.0,7.9,3.8,317978.0
2011 Q3,527034.0,8.3,4.0,319113.0
2011 Q4,527698.0,8.4,4.0,319878.0
2012 Q1,532300.0,8.2,3.1,319950.0
2012 Q2,531663.0,8.0,2.5,322313.0
2012 Q3,536720.0,7.8,2.2,325890.0
2012 Q4,536188.0,7.8,2.4,330687.0
2013 Q1,537974.0,7.8,2.5,328935.0
2013 Q2,541586.0,7.7,2.4,332257.0
2013 Q3,546064.0,7.6,2.4,336411.0
2013 Q4,549709.0,7.2,1.9,337974.0
2014 Q1,554183.0,6.7,1.6,339058.0
2014 Q2,559331.0,6.3,1.6,341118.0
2014 Q3,563694.0,6.0,1.5,346725.0
2014 Q4,567619.0,5.7,1.1,348925.0
2015 Q1,569150.0,5.5,0.4,350714.0
2015 Q2,572673.0,5.6,0.3,352232.0
2015 Q3,574836.0,5.3,0.4,356765.0
2015 Q4,578068.0,5.1,0.4,355848.0
2016 Q1,580110.0,5.1,0.7,363522.0
2016 Q2,583383.0,4.9,0.7,366683.0
2016 Q3,585856.0,4.8,1.0,369891.0
2016 Q4,589476.0,4.7,1.5,369850.0
2017 Q1,594423.0,4.6,2.2,372376.0
2017 Q2,598176.0,4.4,2.6,372182.0
2017 Q3,601961.0,4.3,2.7,374572.0
2017 Q4,606396.0,4.4,2.8,376343.0
2018 Q1,606785.0,4.2,2.5,378556.0
2018 Q2,607775.0,4.0,2.2,377543.0
2018 Q3,609653.0,4.1,2.3,380204.0
2018 Q4,610481.0,4.0,2.1,384035.0
2019 Q1,614936.0,3.8,1.8,383607.0
2019 Q2,616853.0,3.9,2.0,385054.0
2019 Q3,621227.0,3.9,1.8,384635.0
2019 Q4,621229.0,3.7,1.4,383778.0
2020 Q1,604719.0,4.1,1.7,372624.0
2020 Q2,481769.0,4.1,0.8,286546.0
2020 Q3,562648.0,5.0,0.8,342361.0
2020 Q4,570338.0,5.3,0.8,335721.0
2021 Q1,564411.0,4.9,0.9,324105.0
2021 Q2,605353.0,4.7,2.1,361389.0
2021 Q3,615459.0,4.4,2.7,372109.0
2021 Q4,624592.0,4.2,4.4,373148.0
2022 Q1,629149.0,3.8,5.5,377996.0
2022 Q2,631258.0,3.8,7.9,384420.0
2022 Q3,631977.0,3.7,8.7,385045.0
2022 Q4,634044.0,3.9,9.4,387283.0
2023 Q1,634428.0,4.0,9.0,385485.0
2023 Q2,634694.0,4.2,7.7,387744.0
2023 Q3,634327.0,4.1,6.3,384357.0
2023 Q4,633011.0,3.9,4.4,383923.0
2024 Q1,638746.0,4.3,3.9,386899.0
2024 Q2,641670.0,4.2,2.9,387064.0
2024 Q3,641675.0,4.3,2.9,389410.0
2024 Q4,642287.0,4.4,3.4,389296.0
